"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\babel-plugin-istanbul","9/6/2026 3:39:19 PM","9/6/2026 3:39:19 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\babel-plugin-jest-hoist","9/6/2026 3:39:20 PM","9/6/2026 3:39:20 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\babel-preset-current-node-syntax","9/6/2026 3:39:20 PM","9/6/2026 3:39:20 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\babel-preset-jest","9/6/2026 3:39:21 PM","9/6/2026 3:39:21 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\balanced-match","9/6/2026 3:39:21 PM","9/6/2026 3:39:21 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\base64-js","9/6/2026 5:41:34 PM","9/6/2026 5:41:35 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\baseline-browser-mapping","9/6/2026 3:39:21 PM","9/6/2026 3:39:21 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\bcryptjs","9/6/2026 3:39:21 PM","9/6/2026 3:39:23 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\better-sqlite3","9/6/2026 5:41:34 PM","9/6/2026 5:41:38 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\binary-extensions","9/6/2026 3:39:23 PM","9/6/2026 3:39:23 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\bindings","9/6/2026 5:41:34 PM","9/6/2026 5:41:35 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\bl","9/6/2026 5:41:34 PM","9/6/2026 5:41:35 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\body-parser","9/6/2026 3:39:23 PM","9/6/2026 3:39:24 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\brace-expansion","9/6/2026 3:39:24 PM","9/6/2026 3:39:24 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\braces","9/6/2026 3:39:24 PM","9/6/2026 3:39:24 PM","20/6/2026 10:33:18 PM"
